Question	Answer	Category
Why might a Fulani herdsman distrust or avoid orthodox veterinary services even when they are available?	Herdsmen may distrust orthodox services due to erratic drug supply, high cost of veterinary drugs, poor communication infrastructure, inadequate manpower in rural areas, and past experiences of counter-productive interventions. Indigenous methods are reliable, low-cost, and always accessible.	Ethnoveterinary
How do traditional herdsmen recognise 'tryps' (trypanosomiasis) before clinical tests?	By observing "staring coat," watery eyes (lacrimation), and a specific change in the animal's gait.	Ethnoveterinary
â˜… In traditional northern Nigerian cattle management, why did herdsmen deliberately avoid letting their cattle graze near shady trees?	Shady trees were avoided because they are associated with high tick infestation. Ticks accumulate in cool, shaded, humid microhabitats, making these areas dangerous for cattle.	Ethnoveterinary
When comparing indigenous Nigerian breeds for a commercial dairy pilot, which breed is considered the premier dairy animal in terms of total lactation yield and milk fat percentage?	sokoto gudali	Ethnoveterinary
What categories of diseases are farmers best and worst at managing with traditional methods?	Best at chronic/minor conditions (diarrhoea, wounds, worms); worst at acute bacterial diseases (Anthrax, CBPP).	Ethnoveterinary
How is ethnoveterinary knowledge transmitted, and why is this a concern?	Oral tradition; it is at risk of loss as pastoralists become sedentary or are dispossessed of land.	Ethnoveterinary
â˜… What plant do northern Nigerian herdsmen locally call Duma rafi, and what do they use it to treat in cattle?	Duma rafi is the local name for Ipomoea isarifolia (Ipomoea repens). It is boiled and given to cattle to drink to treat malaria in cattle.	Ethnoveterinary
What is the use of 'Khaya senegalensis' (Mahogany) bark in Fulani ethnoveterinary medicine?	Used as a dewormer and to treat stomach disorders in cattle.	Ethnoveterinary
In the context of African ethnoveterinary practice, what does the term 'nagana' refer to?	Nagana is the Zulu-origin name for trypanosomiasis in domestic animals, caused by tsetse-fly-transmitted trypanosomes. It causes anaemia, weight loss, and death in cattle. It is distinct from sleeping sickness, which is the human form.	Ethnoveterinary
â˜… In African pastoral tradition, what property of certain plants caused ticks to detach from cattle after the animal ate them?	A high salt content in the plants caused ticks to fall off. Herdsmen fed animals plants rich in salt as an indigenous acaricide method.	Ethnoveterinary
Under traditional extensive management in the Guinea Savanna, what is the average age at first calving (in months) and How much milk production per lactastion for the Bunaji cow?	42-45 months and 2300kg per lactation	Ethnoveterinary

